"Time	RPM	MAP	TP	lambda	MAT	CLT	Gego	Gwarm	Gbaro	Gammae	TPSacc	Gve	PW	PW_raw	IacDC	IacSteps	DutyCycle1	lambdaTarget	Spark	Dwell	EGT #1	Vbatt	IacInt	speed_rpm_ratio	altitude	speed	course	distance	distance_sum	inst_Vems	torque	torque_nominal	L100km	lambda_corr_ego	lambda_corr_ego	afr_diff	corrected_ve	",Time,RPM,MAP,TP,lambda,MAT,CLT,Gego,Gwarm,Gbaro,Gammae,TPSacc,Gve,PW,PW_raw,IacDC,IacSteps,DutyCycle1,lambdaTarget,Spark,Dwell,EGT #1,Vbatt,IacInt,speed_rpm_ratio,altitude,speed,course,distance,distance_sum,inst_Vems,torque,torque_nominal,L100km,lambda_corr_ego,lambda_corr_ego,afr_diff,corrected_ve
"0.500	2016	54.3	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	3.700	2.936	18	46	6.2	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	2.308	40.341	38.675	255.000	0.930	0.930	1.000	83.700	",0.5,2016,54.3,1.2,1,30,85,93,100,100,97,0,90,3.7,2.936,18,46,6.2,1,40,4.03,652,12.12,123,0,0,0,0,0,0,2.308,40.341,38.675,255,0.93,0.93,1,83.7
"0.547	2010	66.3	1.2	1.009	30.0	85.0	93	100	100	97	0.0	90	4.363	3.592	18	46	7.3	1.000	40.0	4.03	652	12.00	123	0	0.0	0.0	0.0	0	0	2.816	38.266	36.593	255.000	0.938	0.938	0.992	84.412	",0.547,2010,66.3,1.2,1.009,30,85,93,100,100,97,0,90,4.363,3.592,18,46,7.3,1,40,4.03,652,12,123,0,0,0,0,0,0,2.816,38.266,36.593,255,0.938,0.938,0.992,84.412
"0.594	2018	80.5	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	5.144	4.380	18	46	8.6	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	3.447	39.946	38.279	255.000	0.936	0.936	0.994	84.234	",0.594,2018,80.5,1.2,1.006,30,85,93,100,100,97,0,90,5.144,4.38,18,46,8.6,1,40,4.03,652,12.12,123,0,0,0,0,0,0,3.447,39.946,38.279,255,0.936,0.936,0.994,84.234
"0.641	2006	67.0	1.2	1.009	30.0	85.0	93	100	100	97	0.0	90	4.404	3.640	18	46	7.4	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	2.848	38.167	36.494	255.000	0.938	0.938	0.992	84.412	",0.641,2006,67,1.2,1.009,30,85,93,100,100,97,0,90,4.404,3.64,18,46,7.4,1,40,4.03,652,12.12,123,0,0,0,0,0,0,2.848,38.167,36.494,255,0.938,0.938,0.992,84.412
"0.688	2011	54.5	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	3.720	2.964	18	46	6.2	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	2.325	36.685	35.006	255.000	0.936	0.936	0.994	84.234	",0.688,2011,54.5,1.2,1.006,30,85,93,100,100,97,0,90,3.72,2.964,18,46,6.2,1,40,4.03,652,12.24,123,0,0,0,0,0,0,2.325,36.685,35.006,255,0.936,0.936,0.994,84.234
"0.734	2008	54.8	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	3.728	2.964	18	47	6.2	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	2.321	40.242	38.576	255.000	0.932	0.932	0.998	83.878	",0.734,2008,54.8,1.2,1.002,30,85,93,100,100,97,0,90,3.728,2.964,18,47,6.2,1,40,4.03,652,12.12,123,0,0,0,0,0,0,2.321,40.242,38.576,255,0.932,0.932,0.998,83.878
"0.781	2005	66.3	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	4.348	3.592	18	47	7.3	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	2.809	37.080	35.403	255.000	0.936	0.936	0.994	84.234	",0.781,2005,66.3,1.2,1.006,30,85,93,100,100,97,0,90,4.348,3.592,18,47,7.3,1,40,4.03,652,12.24,123,0,0,0,0,0,0,2.809,37.08,35.403,255,0.936,0.936,0.994,84.234
"0.828	2014	80.3	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	5.135	4.364	18	46	8.6	1.000	40.0	4.03	652	12.00	123	0	0.0	0.0	0.0	0	0	3.428	39.254	37.584	255.000	0.936	0.936	0.994	84.234	",0.828,2014,80.3,1.2,1.006,30,85,93,100,100,97,0,90,5.135,4.364,18,46,8.6,1,40,4.03,652,12,123,0,0,0,0,0,0,3.428,39.254,37.584,255,0.936,0.936,0.994,84.234
"0.875	2002	67.8	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.424	3.668	18	46	7.4	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	2.864	36.882	35.204	255.000	0.932	0.932	0.998	83.878	",0.875,2002,67.8,1.2,1.002,30,85,93,100,100,97,0,90,4.424,3.668,18,46,7.4,1,40,4.03,652,12.24,123,0,0,0,0,0,0,2.864,36.882,35.204,255,0.932,0.932,0.998,83.878
"0.922	2006	55.0	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	3.760	2.996	18	46	6.3	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	2.344	39.155	37.485	255.000	0.930	0.930	1.000	83.700	",0.922,2006,55,1.2,1,30,85,93,100,100,97,0,90,3.76,2.996,18,46,6.3,1,40,4.03,652,12.12,123,0,0,0,0,0,0,2.344,39.155,37.485,255,0.93,0.93,1,83.7
"0.969	2003	67.8	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.432	3.668	18	46	7.4	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	2.865	37.278	35.601	255.000	0.932	0.932	0.998	83.878	",0.969,2003,67.8,1.2,1.002,30,85,93,100,100,97,0,90,4.432,3.668,18,46,7.4,1,40,4.03,652,12.12,123,0,0,0,0,0,0,2.865,37.278,35.601,255,0.932,0.932,0.998,83.878
"1.016	2010	80.3	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	5.135	4.364	18	47	8.6	1.000	40.0	4.03	652	12.00	123	0	0.0	0.0	0.0	0	0	3.421	36.981	35.304	255.000	0.932	0.932	0.998	83.878	",1.016,2010,80.3,1.2,1.002,30,85,93,100,100,97,0,90,5.135,4.364,18,47,8.6,1,40,4.03,652,12,123,0,0,0,0,0,0,3.421,36.981,35.304,255,0.932,0.932,0.998,83.878
"1.063	2009	80.3	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	5.128	4.364	18	47	8.6	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	3.419	38.957	37.287	255.000	0.932	0.932	0.998	83.878	",1.063,2009,80.3,1.2,1.002,30,85,93,100,100,97,0,90,5.128,4.364,18,47,8.6,1,40,4.03,652,12.12,123,0,0,0,0,0,0,3.419,38.957,37.287,255,0.932,0.932,0.998,83.878
"1.109	2001	68.0	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.468	3.704	18	46	7.4	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	2.891	36.685	35.006	255.000	0.932	0.932	0.998	83.878	",1.109,2001,68,1.2,1.002,30,85,93,100,100,97,0,90,4.468,3.704,18,46,7.4,1,40,4.03,652,12.12,123,0,0,0,0,0,0,2.891,36.685,35.006,255,0.932,0.932,0.998,83.878
"1.156	2008	54.5	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	3.720	2.964	18	46	6.2	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	2.321	39.353	37.684	255.000	0.930	0.930	1.000	83.700	",1.156,2008,54.5,1.2,1,30,85,93,100,100,97,0,90,3.72,2.964,18,46,6.2,1,40,4.03,652,12.24,123,0,0,0,0,0,0,2.321,39.353,37.684,255,0.93,0.93,1,83.7
"1.203	2003	67.0	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	4.396	3.640	18	46	7.3	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	2.843	36.882	35.204	255.000	0.936	0.936	0.994	84.234	",1.203,2003,67,1.2,1.006,30,85,93,100,100,97,0,90,4.396,3.64,18,46,7.3,1,40,4.03,652,12.24,123,0,0,0,0,0,0,2.843,36.882,35.204,255,0.936,0.936,0.994,84.234
"1.250	2013	80.3	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	5.135	4.364	18	46	8.6	1.000	40.0	4.03	652	12.00	123	0	0.0	0.0	0.0	0	0	3.426	39.155	37.485	255.000	0.936	0.936	0.994	84.234	",1.25,2013,80.3,1.2,1.006,30,85,93,100,100,97,0,90,5.135,4.364,18,46,8.6,1,40,4.03,652,12,123,0,0,0,0,0,0,3.426,39.155,37.485,255,0.936,0.936,0.994,84.234
"1.313	2002	68.0	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.460	3.704	18	47	7.4	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	2.892	37.278	35.601	255.000	0.932	0.932	0.998	83.878	",1.313,2002,68,1.2,1.002,30,85,93,100,100,97,0,90,4.46,3.704,18,47,7.4,1,40,4.03,652,12.24,123,0,0,0,0,0,0,2.892,37.278,35.601,255,0.932,0.932,0.998,83.878
"1.359	2007	55.0	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	3.760	2.996	18	47	6.3	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	2.345	37.179	35.502	255.000	0.930	0.930	1.000	83.700	",1.359,2007,55,1.2,1,30,85,93,100,100,97,0,90,3.76,2.996,18,47,6.3,1,40,4.03,652,12.12,123,0,0,0,0,0,0,2.345,37.179,35.502,255,0.93,0.93,1,83.7
"1.406	2001	67.3	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	4.396	3.640	18	47	7.3	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	2.841	37.870	36.196	255.000	0.930	0.930	1.000	83.700	",1.406,2001,67.3,1.2,1,30,85,93,100,100,97,0,90,4.396,3.64,18,47,7.3,1,40,4.03,652,12.24,123,0,0,0,0,0,0,2.841,37.87,36.196,255,0.93,0.93,1,83.7
"1.453	2002	66.5	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	4.388	3.624	18	46	7.3	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	2.830	37.376	35.700	255.000	0.936	0.936	0.994	84.234	",1.453,2002,66.5,1.2,1.006,30,85,93,100,100,97,0,90,4.388,3.624,18,46,7.3,1,40,4.03,652,12.12,123,0,0,0,0,0,0,2.83,37.376,35.7,255,0.936,0.936,0.994,84.234
"1.500	2012	80.5	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	5.136	4.380	18	46	8.6	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	3.437	38.859	37.188	255.000	0.936	0.936	0.994	84.234	",1.5,2012,80.5,1.2,1.006,30,85,93,100,100,97,0,90,5.136,4.38,18,46,8.6,1,40,4.03,652,12.24,123,0,0,0,0,0,0,3.437,38.859,37.188,255,0.936,0.936,0.994,84.234
"1.547	1998	67.5	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	4.432	3.668	18	46	7.4	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	2.858	36.783	35.105	255.000	0.930	0.930	1.000	83.700	",1.547,1998,67.5,1.2,1,30,85,93,100,100,97,0,90,4.432,3.668,18,46,7.4,1,40,4.03,652,12.12,123,0,0,0,0,0,0,2.858,36.783,35.105,255,0.93,0.93,1,83.7
"1.594	2004	54.3	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	3.692	2.936	18	46	6.2	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	2.295	38.463	36.791	255.000	0.928	0.928	1.002	83.522	",1.594,2004,54.3,1.2,0.998,30,85,93,100,100,97,0,90,3.692,2.936,18,46,6.2,1,40,4.03,652,12.24,123,0,0,0,0,0,0,2.295,38.463,36.791,255,0.928,0.928,1.002,83.522
"1.641	2001	68.3	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	4.475	3.704	18	47	7.5	1.000	40.0	4.03	652	12.00	123	0	0.0	0.0	0.0	0	0	2.891	36.388	34.709	255.000	0.928	0.928	1.002	83.522	",1.641,2001,68.3,1.2,0.998,30,85,93,100,100,97,0,90,4.475,3.704,18,47,7.5,1,40,4.03,652,12,123,0,0,0,0,0,0,2.891,36.388,34.709,255,0.928,0.928,1.002,83.522
"1.688	2011	80.8	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	5.136	4.380	18	47	8.6	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	3.435	37.870	36.196	255.000	0.932	0.932	0.998	83.878	",1.688,2011,80.8,1.2,1.002,30,85,93,100,100,97,0,90,5.136,4.38,18,47,8.6,1,40,4.03,652,12.24,123,0,0,0,0,0,0,3.435,37.87,36.196,255,0.932,0.932,0.998,83.878
"1.734	2001	67.3	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.411	3.640	18	46	7.4	1.000	40.0	4.03	652	12.00	123	0	0.0	0.0	0.0	0	0	2.841	38.957	37.287	255.000	0.932	0.932	0.998	83.878	",1.734,2001,67.3,1.2,1.002,30,85,93,100,100,97,0,90,4.411,3.64,18,46,7.4,1,40,4.03,652,12,123,0,0,0,0,0,0,2.841,38.957,37.287,255,0.932,0.932,0.998,83.878
"1.781	2000	67.0	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.396	3.640	18	46	7.3	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	2.839	37.870	36.196	255.000	0.932	0.932	0.998	83.878	",1.781,2000,67,1.2,1.002,30,85,93,100,100,97,0,90,4.396,3.64,18,46,7.3,1,40,4.03,652,12.24,123,0,0,0,0,0,0,2.839,37.87,36.196,255,0.932,0.932,0.998,83.878
"1.828	2005	55.3	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	3.752	2.996	18	46	6.3	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	2.343	39.056	37.386	255.000	0.936	0.936	0.994	84.234	",1.828,2005,55.3,1.2,1.006,30,85,93,100,100,97,0,90,3.752,2.996,18,46,6.3,1,40,4.03,652,12.24,123,0,0,0,0,0,0,2.343,39.056,37.386,255,0.936,0.936,0.994,84.234
"1.875	2002	66.5	1.2	1.009	30.0	85.0	93	100	100	97	0.0	90	4.380	3.624	18	46	7.3	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	2.830	36.191	34.510	255.000	0.938	0.938	0.992	84.412	",1.875,2002,66.5,1.2,1.009,30,85,93,100,100,97,0,90,4.38,3.624,18,46,7.3,1,40,4.03,652,12.24,123,0,0,0,0,0,0,2.83,36.191,34.51,255,0.938,0.938,0.992,84.412
"1.922	2008	80.5	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	5.136	4.380	18	47	8.6	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	3.430	39.353	37.684	255.000	0.936	0.936	0.994	84.234	",1.922,2008,80.5,1.2,1.006,30,85,93,100,100,97,0,90,5.136,4.38,18,47,8.6,1,40,4.03,652,12.24,123,0,0,0,0,0,0,3.43,39.353,37.684,255,0.936,0.936,0.994,84.234
"1.969	1998	67.3	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.411	3.640	18	47	7.3	1.000	40.0	4.03	652	12.00	123	0	0.0	0.0	0.0	0	0	2.836	37.376	35.700	255.000	0.932	0.932	0.998	83.878	",1.969,1998,67.3,1.2,1.002,30,85,93,100,100,97,0,90,4.411,3.64,18,47,7.3,1,40,4.03,652,12,123,0,0,0,0,0,0,2.836,37.376,35.7,255,0.932,0.932,0.998,83.878
"2.016	2003	54.5	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	3.720	2.964	18	46	6.2	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	2.315	39.649	37.981	255.000	0.932	0.932	0.998	83.878	",2.016,2003,54.5,1.2,1.002,30,85,93,100,100,97,0,90,3.72,2.964,18,46,6.2,1,40,4.03,652,12.24,123,0,0,0,0,0,0,2.315,39.649,37.981,255,0.932,0.932,0.998,83.878
"2.063	2001	67.3	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.411	3.640	18	46	7.4	1.000	40.0	4.03	652	12.00	123	0	0.0	0.0	0.0	0	0	2.841	37.574	35.899	255.000	0.932	0.932	0.998	83.878	",2.063,2001,67.3,1.2,1.002,30,85,93,100,100,97,0,90,4.411,3.64,18,46,7.4,1,40,4.03,652,12,123,0,0,0,0,0,0,2.841,37.574,35.899,255,0.932,0.932,0.998,83.878
"2.109	2009	80.8	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	5.136	4.380	18	46	8.6	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	3.432	38.661	36.989	255.000	0.932	0.932	0.998	83.878	",2.109,2009,80.8,1.2,1.002,30,85,93,100,100,97,0,90,5.136,4.38,18,46,8.6,1,40,4.03,652,12.24,123,0,0,0,0,0,0,3.432,38.661,36.989,255,0.932,0.932,0.998,83.878
"2.156	2010	80.8	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	5.144	4.380	18	47	8.6	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	3.433	38.167	36.494	255.000	0.936	0.936	0.994	84.234	",2.156,2010,80.8,1.2,1.006,30,85,93,100,100,97,0,90,5.144,4.38,18,47,8.6,1,40,4.03,652,12.12,123,0,0,0,0,0,0,3.433,38.167,36.494,255,0.936,0.936,0.994,84.234
"2.203	1997	67.3	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	4.396	3.640	18	47	7.3	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	2.835	35.993	34.312	255.000	0.936	0.936	0.994	84.234	",2.203,1997,67.3,1.2,1.006,30,85,93,100,100,97,0,90,4.396,3.64,18,47,7.3,1,40,4.03,652,12.24,123,0,0,0,0,0,0,2.835,35.993,34.312,255,0.936,0.936,0.994,84.234
"2.250	2002	54.8	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	3.728	2.964	18	47	6.2	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	2.314	39.056	37.386	255.000	0.932	0.932	0.998	83.878	",2.25,2002,54.8,1.2,1.002,30,85,93,100,100,97,0,90,3.728,2.964,18,47,6.2,1,40,4.03,652,12.12,123,0,0,0,0,0,0,2.314,39.056,37.386,255,0.932,0.932,0.998,83.878
"2.297	1998	68.3	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	4.460	3.704	18	47	7.4	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	2.886	35.894	34.213	255.000	0.926	0.926	1.004	83.344	",2.297,1998,68.3,1.2,0.996,30,85,93,100,100,97,0,90,4.46,3.704,18,47,7.4,1,40,4.03,652,12.24,123,0,0,0,0,0,0,2.886,35.894,34.213,255,0.926,0.926,1.004,83.344
"2.359	2010	80.3	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	5.128	4.364	18	46	8.6	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	3.421	39.056	37.386	255.000	0.926	0.926	1.004	83.344	",2.359,2010,80.3,1.2,0.996,30,85,93,100,100,97,0,90,5.128,4.364,18,46,8.6,1,40,4.03,652,12.12,123,0,0,0,0,0,0,3.421,39.056,37.386,255,0.926,0.926,1.004,83.344
"2.406	2001	68.0	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.468	3.704	18	46	7.4	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	2.891	38.068	36.394	255.000	0.932	0.932	0.998	83.878	",2.406,2001,68,1.2,1.002,30,85,93,100,100,97,0,90,4.468,3.704,18,46,7.4,1,40,4.03,652,12.12,123,0,0,0,0,0,0,2.891,38.068,36.394,255,0.932,0.932,0.998,83.878
"2.453	2006	55.0	1.2	1.009	30.0	85.0	93	100	100	97	0.0	90	3.752	2.996	18	47	6.3	1.000	40.0	4.03	651	12.24	123	0	0.0	0.0	0.0	0	0	2.344	36.487	34.808	255.000	0.938	0.938	0.992	84.412	",2.453,2006,55,1.2,1.009,30,85,93,100,100,97,0,90,3.752,2.996,18,47,6.3,1,40,4.03,651,12.24,123,0,0,0,0,0,0,2.344,36.487,34.808,255,0.938,0.938,0.992,84.412
"2.500	2006	55.3	1.2	1.009	30.0	85.0	93	100	100	97	0.0	90	3.760	2.996	18	47	6.3	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	2.344	37.278	35.601	255.000	0.938	0.938	0.992	84.412	",2.5,2006,55.3,1.2,1.009,30,85,93,100,100,97,0,90,3.76,2.996,18,47,6.3,1,40,4.03,652,12.12,123,0,0,0,0,0,0,2.344,37.278,35.601,255,0.938,0.938,0.992,84.412
"2.547	2004	66.5	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	4.380	3.624	18	46	7.3	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	2.832	36.586	34.907	255.000	0.936	0.936	0.994	84.234	",2.547,2004,66.5,1.2,1.006,30,85,93,100,100,97,0,90,4.38,3.624,18,46,7.3,1,40,4.03,652,12.24,123,0,0,0,0,0,0,2.832,36.586,34.907,255,0.936,0.936,0.994,84.234
"2.594	2013	80.3	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	5.135	4.364	18	46	8.6	1.000	40.0	4.03	652	12.00	123	0	0.0	0.0	0.0	0	0	3.426	39.254	37.584	255.000	0.930	0.930	1.000	83.700	",2.594,2013,80.3,1.2,1,30,85,93,100,100,97,0,90,5.135,4.364,18,46,8.6,1,40,4.03,652,12,123,0,0,0,0,0,0,3.426,39.254,37.584,255,0.93,0.93,1,83.7
