"Time	RPM	MAP	TP	lambda	MAT	CLT	Gego	Gwarm	Gbaro	Gammae	TPSacc	Gve	PW	PW_raw	IacDC	IacSteps	DutyCycle1	lambdaTarget	Spark	Dwell	EGT #1	Vbatt	IacInt	speed_rpm_ratio	altitude	speed	course	distance	distance_sum	inst_Vems	torque	torque_nominal	L100km	lambda_corr_ego	lambda_corr_ego	afr_diff	corrected_ve	",Time,RPM,MAP,TP,lambda,MAT,CLT,Gego,Gwarm,Gbaro,Gammae,TPSacc,Gve,PW,PW_raw,IacDC,IacSteps,DutyCycle1,lambdaTarget,Spark,Dwell,EGT #1,Vbatt,IacInt,speed_rpm_ratio,altitude,speed,course,distance,distance_sum,inst_Vems,torque,torque_nominal,L100km,lambda_corr_ego,lambda_corr_ego,afr_diff,corrected_ve
"0.000	2009	67.3	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.396	3.640	18	46	7.4	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	2.852	37.376	35.700	255.000	0.932	0.932	0.998	83.878	",0,2009,67.3,1.2,1.002,30,85,93,100,100,97,0,90,4.396,3.64,18,46,7.4,1,40,4.03,652,12.24,123,0,0,0,0,0,0,2.852,37.376,35.7,255,0.932,0.932,0.998,83.878
"0.078	2020	79.8	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	5.092	4.328	18	46	8.6	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	3.410	38.068	36.394	255.000	0.932	0.932	0.998	83.878	",0.078,2020,79.8,1.2,1.002,30,85,93,100,100,97,0,90,5.092,4.328,18,46,8.6,1,40,4.03,652,12.12,123,0,0,0,0,0,0,3.41,38.068,36.394,255,0.932,0.932,0.998,83.878
"0.109	2022	80.3	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	5.128	4.364	18	47	8.6	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	3.441	38.760	37.089	255.000	0.928	0.928	1.002	83.522	",0.109,2022,80.3,1.2,0.998,30,85,93,100,100,97,0,90,5.128,4.364,18,47,8.6,1,40,4.03,652,12.12,123,0,0,0,0,0,0,3.441,38.76,37.089,255,0.928,0.928,1.002,83.522
"0.156	2023	79.5	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	5.084	4.328	18	47	8.6	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	3.415	38.957	37.287	255.000	0.932	0.932	0.998	83.878	",0.156,2023,79.5,1.2,1.002,30,85,93,100,100,97,0,90,5.084,4.328,18,47,8.6,1,40,4.03,652,12.24,123,0,0,0,0,0,0,3.415,38.957,37.287,255,0.932,0.932,0.998,83.878
"0.203	2013	67.5	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.446	3.668	18	46	7.5	1.000	40.0	4.03	652	11.88	123	0	0.0	0.0	0.0	0	0	2.880	37.179	35.502	255.000	0.932	0.932	0.998	83.878	",0.203,2013,67.5,1.2,1.002,30,85,93,100,100,97,0,90,4.446,3.668,18,46,7.5,1,40,4.03,652,11.88,123,0,0,0,0,0,0,2.88,37.179,35.502,255,0.932,0.932,0.998,83.878
"0.250	2019	54.8	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	3.720	2.964	18	46	6.3	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	2.334	38.760	37.089	255.000	0.930	0.930	1.000	83.700	",0.25,2019,54.8,1.2,1,30,85,93,100,100,97,0,90,3.72,2.964,18,46,6.3,1,40,4.03,652,12.24,123,0,0,0,0,0,0,2.334,38.76,37.089,255,0.93,0.93,1,83.7
"0.313	2016	67.0	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	4.411	3.640	18	46	7.4	1.000	40.0	4.03	652	12.00	123	0	0.0	0.0	0.0	0	0	2.862	37.574	35.899	255.000	0.936	0.936	0.994	84.234	",0.313,2016,67,1.2,1.006,30,85,93,100,100,97,0,90,4.411,3.64,18,46,7.4,1,40,4.03,652,12,123,0,0,0,0,0,0,2.862,37.574,35.899,255,0.936,0.936,0.994,84.234
"0.359	2023	80.0	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	5.120	4.364	18	46	8.6	1.000	40.0	4.03	652	12.24	123	0	0.0	0.0	0.0	0	0	3.443	36.289	34.609	255.000	0.936	0.936	0.994	84.234	",0.359,2023,80,1.2,1.006,30,85,93,100,100,97,0,90,5.12,4.364,18,46,8.6,1,40,4.03,652,12.24,123,0,0,0,0,0,0,3.443,36.289,34.609,255,0.936,0.936,0.994,84.234
"0.406	2022	80.3	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	5.135	4.364	18	47	8.7	1.000	40.0	4.03	652	12.00	123	0	0.0	0.0	0.0	0	0	3.441	38.068	36.394	255.000	0.936	0.936	0.994	84.234	",0.406,2022,80.3,1.2,1.006,30,85,93,100,100,97,0,90,5.135,4.364,18,47,8.7,1,40,4.03,652,12,123,0,0,0,0,0,0,3.441,38.068,36.394,255,0.936,0.936,0.994,84.234
"0.453	2011	67.8	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	4.432	3.668	18	47	7.4	1.000	40.0	4.03	652	12.12	123	0	0.0	0.0	0.0	0	0	2.877	36.191	34.510	255.000	0.930	0.930	1.000	83.700	",0.453,2011,67.8,1.2,1,30,85,93,100,100,97,0,90,4.432,3.668,18,47,7.4,1,40,4.03,652,12.12,123,0,0,0,0,0,0,2.877,36.191,34.51,255,0.93,0.93,1,83.7
