"Time	RPM	MAP	TP	lambda	MAT	CLT	Gego	Gwarm	Gbaro	Gammae	TPSacc	Gve	PW	PW_raw	IacDC	IacSteps	DutyCycle1	lambdaTarget	Spark	Dwell	EGT #1	Vbatt	IacInt	speed_rpm_ratio	altitude	speed	course	distance	distance_sum	inst_Vems	torque	torque_nominal	L100km	lambda_corr_ego	lambda_corr_ego	afr_diff	corrected_ve	",Time,RPM,MAP,TP,lambda,MAT,CLT,Gego,Gwarm,Gbaro,Gammae,TPSacc,Gve,PW,PW_raw,IacDC,IacSteps,DutyCycle1,lambdaTarget,Spark,Dwell,EGT #1,Vbatt,IacInt,speed_rpm_ratio,altitude,speed,course,distance,distance_sum,inst_Vems,torque,torque_nominal,L100km,lambda_corr_ego,lambda_corr_ego,afr_diff,corrected_ve
"0.500	1997	67.3	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.404	3.640	18	47	7.3	1.000	30.0	4.03	676	12.12	123	0	0.0	0.0	0.0	0	0	2.835	33.819	32.130	255.000	0.932	0.932	0.998	83.878	",0.5,1997,67.3,1.2,1.002,30,85,93,100,100,97,0,90,4.404,3.64,18,47,7.3,1,30,4.03,676,12.12,123,0,0,0,0,0,0,2.835,33.819,32.13,255,0.932,0.932,0.998,83.878
"0.547	2011	80.3	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	5.128	4.364	18	46	8.6	1.000	30.0	4.03	676	12.12	123	0	0.0	0.0	0.0	0	0	3.423	34.807	33.122	255.000	0.936	0.936	0.994	84.234	",0.547,2011,80.3,1.2,1.006,30,85,93,100,100,97,0,90,5.128,4.364,18,46,8.6,1,30,4.03,676,12.12,123,0,0,0,0,0,0,3.423,34.807,33.122,255,0.936,0.936,0.994,84.234
"0.594	1996	67.5	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.432	3.668	18	46	7.4	1.000	30.0	4.03	676	12.12	123	0	0.0	0.0	0.0	0	0	2.855	35.005	33.320	255.000	0.932	0.932	0.998	83.878	",0.594,1996,67.5,1.2,1.002,30,85,93,100,100,97,0,90,4.432,3.668,18,46,7.4,1,30,4.03,676,12.12,123,0,0,0,0,0,0,2.855,35.005,33.32,255,0.932,0.932,0.998,83.878
"0.641	2000	54.3	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	3.700	2.936	18	46	6.2	1.000	30.0	4.03	676	12.12	123	0	0.0	0.0	0.0	0	0	2.290	35.598	33.915	255.000	0.926	0.926	1.004	83.344	",0.641,2000,54.3,1.2,0.996,30,85,93,100,100,97,0,90,3.7,2.936,18,46,6.2,1,30,4.03,676,12.12,123,0,0,0,0,0,0,2.29,35.598,33.915,255,0.926,0.926,1.004,83.344
"0.688	2000	54.8	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	3.720	2.964	18	46	6.2	1.000	30.0	4.03	676	12.24	123	0	0.0	0.0	0.0	0	0	2.312	36.586	34.907	255.000	0.926	0.926	1.004	83.344	",0.688,2000,54.8,1.2,0.996,30,85,93,100,100,97,0,90,3.72,2.964,18,46,6.2,1,30,4.03,676,12.24,123,0,0,0,0,0,0,2.312,36.586,34.907,255,0.926,0.926,1.004,83.344
"0.735	2000	67.3	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	4.404	3.640	18	47	7.3	1.000	30.0	4.03	676	12.12	123	0	0.0	0.0	0.0	0	0	2.839	35.202	33.519	255.000	0.930	0.930	1.000	83.700	",0.735,2000,67.3,1.2,1,30,85,93,100,100,97,0,90,4.404,3.64,18,47,7.3,1,30,4.03,676,12.12,123,0,0,0,0,0,0,2.839,35.202,33.519,255,0.93,0.93,1,83.7
"0.797	2017	80.3	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	5.120	4.364	18	47	8.6	1.000	30.0	4.03	676	12.24	123	0	0.0	0.0	0.0	0	0	3.433	36.685	35.006	255.000	0.930	0.930	1.000	83.700	",0.797,2017,80.3,1.2,1,30,85,93,100,100,97,0,90,5.12,4.364,18,47,8.6,1,30,4.03,676,12.24,123,0,0,0,0,0,0,3.433,36.685,35.006,255,0.93,0.93,1,83.7
"0.829	1997	67.5	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	4.439	3.668	18	47	7.4	1.000	30.0	4.03	676	12.00	123	0	0.0	0.0	0.0	0	0	2.857	34.313	32.626	255.000	0.928	0.928	1.002	83.522	",0.829,1997,67.5,1.2,0.998,30,85,93,100,100,97,0,90,4.439,3.668,18,47,7.4,1,30,4.03,676,12,123,0,0,0,0,0,0,2.857,34.313,32.626,255,0.928,0.928,1.002,83.522
"0.875	2000	55.0	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	3.752	2.996	18	47	6.3	1.000	30.0	4.03	676	12.24	123	0	0.0	0.0	0.0	0	0	2.337	35.400	33.717	255.000	0.930	0.930	1.000	83.700	",0.875,2000,55,1.2,1,30,85,93,100,100,97,0,90,3.752,2.996,18,47,6.3,1,30,4.03,676,12.24,123,0,0,0,0,0,0,2.337,35.4,33.717,255,0.93,0.93,1,83.7
"0.922	1997	66.5	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.388	3.624	18	46	7.3	1.000	30.0	4.03	676	12.12	123	0	0.0	0.0	0.0	0	0	2.822	34.214	32.527	255.000	0.932	0.932	0.998	83.878	",0.922,1997,66.5,1.2,1.002,30,85,93,100,100,97,0,90,4.388,3.624,18,46,7.3,1,30,4.03,676,12.12,123,0,0,0,0,0,0,2.822,34.214,32.527,255,0.932,0.932,0.998,83.878
