"Time	RPM	MAP	TP	lambda	MAT	CLT	Gego	Gwarm	Gbaro	Gammae	TPSacc	Gve	PW	PW_raw	IacDC	IacSteps	DutyCycle1	lambdaTarget	Spark	Dwell	EGT #1	Vbatt	IacInt	speed_rpm_ratio	altitude	speed	course	distance	distance_sum	inst_Vems	torque	torque_nominal	L100km	lambda_corr_ego	lambda_corr_ego	afr_diff	corrected_ve	",Time,RPM,MAP,TP,lambda,MAT,CLT,Gego,Gwarm,Gbaro,Gammae,TPSacc,Gve,PW,PW_raw,IacDC,IacSteps,DutyCycle1,lambdaTarget,Spark,Dwell,EGT #1,Vbatt,IacInt,speed_rpm_ratio,altitude,speed,course,distance,distance_sum,inst_Vems,torque,torque_nominal,L100km,lambda_corr_ego,lambda_corr_ego,afr_diff,corrected_ve
"6.844	2028	80.5	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	5.136	4.380	18	46	8.7	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	3.464	36.685	35.006	255.000	0.930	0.930	1.000	83.700	",6.844,2028,80.5,1.2,1,30,85,93,100,100,97,0,90,5.136,4.38,18,46,8.7,1,30,4.03,675,12.24,123,0,0,0,0,0,0,3.464,36.685,35.006,255,0.93,0.93,1,83.7
"6.891	2011	67.0	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	4.404	3.640	18	46	7.4	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.855	34.511	32.824	255.000	0.926	0.926	1.004	83.344	",6.891,2011,67,1.2,0.996,30,85,93,100,100,97,0,90,4.404,3.64,18,46,7.4,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.855,34.511,32.824,255,0.926,0.926,1.004,83.344
"6.938	2015	54.5	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	3.728	2.964	18	47	6.3	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.329	35.795	34.114	255.000	0.928	0.928	1.002	83.522	",6.938,2015,54.5,1.2,0.998,30,85,93,100,100,97,0,90,3.728,2.964,18,47,6.3,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.329,35.795,34.114,255,0.928,0.928,1.002,83.522
"6.985	2009	65.5	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	4.324	3.560	18	47	7.2	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.789	36.586	34.907	255.000	0.928	0.928	1.002	83.522	",6.985,2009,65.5,1.2,0.998,30,85,93,100,100,97,0,90,4.324,3.56,18,47,7.2,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.789,36.586,34.907,255,0.928,0.928,1.002,83.522
"7.032	2010	80.3	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	4.388	3.624	18	46	7.3	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.841	35.499	33.816	255.000	0.930	0.930	1.000	83.700	",7.032,2010,80.3,1.2,1,30,85,93,100,100,97,0,90,4.388,3.624,18,46,7.3,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.841,35.499,33.816,255,0.93,0.93,1,83.7
"7.079	2024	80.0	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	5.120	4.364	18	46	8.6	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	3.445	36.586	34.907	255.000	0.932	0.932	0.998	83.878	",7.079,2024,80,1.2,1.002,30,85,93,100,100,97,0,90,5.12,4.364,18,46,8.6,1,30,4.03,675,12.24,123,0,0,0,0,0,0,3.445,36.586,34.907,255,0.932,0.932,0.998,83.878
"7.125	2010	67.3	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	4.404	3.640	18	47	7.4	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.853	35.005	33.320	255.000	0.928	0.928	1.002	83.522	",7.125,2010,67.3,1.2,0.998,30,85,93,100,100,97,0,90,4.404,3.64,18,47,7.4,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.853,35.005,33.32,255,0.928,0.928,1.002,83.522
"7.172	2012	54.3	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	3.692	2.936	18	47	6.2	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.304	36.981	35.304	255.000	0.926	0.926	1.004	83.344	",7.172,2012,54.3,1.2,0.996,30,85,93,100,100,97,0,90,3.692,2.936,18,47,6.2,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.304,36.981,35.304,255,0.926,0.926,1.004,83.344
"7.219	2002	66.3	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	4.356	3.592	18	47	7.3	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.805	34.511	32.824	255.000	0.928	0.928	1.002	83.522	",7.219,2002,66.3,1.2,0.998,30,85,93,100,100,97,0,90,4.356,3.592,18,47,7.3,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.805,34.511,32.824,255,0.928,0.928,1.002,83.522
"7.266	2020	80.0	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	5.128	4.364	18	47	8.6	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	3.438	35.400	33.717	255.000	0.926	0.926	1.004	83.344	",7.266,2020,80,1.2,0.996,30,85,93,100,100,97,0,90,5.128,4.364,18,47,8.6,1,30,4.03,675,12.12,123,0,0,0,0,0,0,3.438,35.4,33.717,255,0.926,0.926,1.004,83.344
"7.313	2002	68.0	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	4.475	3.704	18	47	7.5	1.000	30.0	4.03	675	12.00	123	0	0.0	0.0	0.0	0	0	2.892	36.092	34.411	255.000	0.926	0.926	1.004	83.344	",7.313,2002,68,1.2,0.996,30,85,93,100,100,97,0,90,4.475,3.704,18,47,7.5,1,30,4.03,675,12,123,0,0,0,0,0,0,2.892,36.092,34.411,255,0.926,0.926,1.004,83.344
"7.360	2003	55.0	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	4.396	3.640	18	46	7.3	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.843	35.104	33.419	255.000	0.926	0.926	1.004	83.344	",7.36,2003,55,1.2,0.996,30,85,93,100,100,97,0,90,4.396,3.64,18,46,7.3,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.843,35.104,33.419,255,0.926,0.926,1.004,83.344
"7.407	2010	54.5	1.2	0.989	30.0	85.0	93	100	100	97	0.0	90	3.720	2.964	18	46	6.2	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.323	35.993	34.312	255.000	0.920	0.920	1.011	82.810	",7.407,2010,54.5,1.2,0.989,30,85,93,100,100,97,0,90,3.72,2.964,18,46,6.2,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.323,35.993,34.312,255,0.92,0.92,1.011,82.81
"7.454	2007	67.0	1.2	0.987	30.0	85.0	93	100	100	97	0.0	90	4.396	3.640	18	47	7.4	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.849	34.214	32.527	255.000	0.918	0.918	1.013	82.631	",7.454,2007,67,1.2,0.987,30,85,93,100,100,97,0,90,4.396,3.64,18,47,7.4,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.849,34.214,32.527,255,0.918,0.918,1.013,82.631
"7.500	2025	80.3	1.2	0.991	30.0	85.0	93	100	100	97	0.0	90	5.128	4.364	18	47	8.7	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	3.446	36.487	34.808	255.000	0.922	0.922	1.009	82.988	",7.5,2025,80.3,1.2,0.991,30,85,93,100,100,97,0,90,5.128,4.364,18,47,8.7,1,30,4.03,675,12.12,123,0,0,0,0,0,0,3.446,36.487,34.808,255,0.922,0.922,1.009,82.988
"7.547	1998	67.3	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	4.404	3.640	18	47	7.3	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.836	33.819	32.130	255.000	0.926	0.926	1.004	83.344	",7.547,1998,67.3,1.2,0.996,30,85,93,100,100,97,0,90,4.404,3.64,18,47,7.3,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.836,33.819,32.13,255,0.926,0.926,1.004,83.344
"7.594	2005	54.5	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	3.728	2.964	18	47	6.2	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.318	35.697	34.014	255.000	0.932	0.932	0.998	83.878	",7.594,2005,54.5,1.2,1.002,30,85,93,100,100,97,0,90,3.728,2.964,18,47,6.2,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.318,35.697,34.014,255,0.932,0.932,0.998,83.878
"7.641	2001	67.0	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.404	3.640	18	46	7.3	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.841	35.499	33.816	255.000	0.932	0.932	0.998	83.878	",7.641,2001,67,1.2,1.002,30,85,93,100,100,97,0,90,4.404,3.64,18,46,7.3,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.841,35.499,33.816,255,0.932,0.932,0.998,83.878
"7.688	2015	80.8	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	5.136	4.380	18	46	8.6	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	3.442	35.795	34.114	255.000	0.930	0.930	1.000	83.700	",7.688,2015,80.8,1.2,1,30,85,93,100,100,97,0,90,5.136,4.38,18,46,8.6,1,30,4.03,675,12.24,123,0,0,0,0,0,0,3.442,35.795,34.114,255,0.93,0.93,1,83.7
"7.735	2016	80.3	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	5.128	4.364	18	47	8.6	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	3.431	36.191	34.510	255.000	0.930	0.930	1.000	83.700	",7.735,2016,80.3,1.2,1,30,85,93,100,100,97,0,90,5.128,4.364,18,47,8.6,1,30,4.03,675,12.12,123,0,0,0,0,0,0,3.431,36.191,34.51,255,0.93,0.93,1,83.7
"7.782	2006	66.8	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	4.380	3.624	18	47	7.3	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.835	33.523	31.833	255.000	0.928	0.928	1.002	83.522	",7.782,2006,66.8,1.2,0.998,30,85,93,100,100,97,0,90,4.38,3.624,18,47,7.3,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.835,33.523,31.833,255,0.928,0.928,1.002,83.522
"7.829	2012	54.5	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	3.735	2.964	18	46	6.3	1.000	30.0	4.03	675	12.00	123	0	0.0	0.0	0.0	0	0	2.326	36.388	34.709	255.000	0.932	0.932	0.998	83.878	",7.829,2012,54.5,1.2,1.002,30,85,93,100,100,97,0,90,3.735,2.964,18,46,6.3,1,30,4.03,675,12,123,0,0,0,0,0,0,2.326,36.388,34.709,255,0.932,0.932,0.998,83.878
"7.875	2006	66.8	1.2	1.009	30.0	85.0	93	100	100	97	0.0	90	4.380	3.624	18	46	7.3	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.835	34.017	32.329	255.000	0.938	0.938	0.992	84.412	",7.875,2006,66.8,1.2,1.009,30,85,93,100,100,97,0,90,4.38,3.624,18,46,7.3,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.835,34.017,32.329,255,0.938,0.938,0.992,84.412
"7.922	2021	80.3	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	5.135	4.364	18	46	8.6	1.000	30.0	4.03	675	12.00	123	0	0.0	0.0	0.0	0	0	3.440	36.388	34.709	255.000	0.932	0.932	0.998	83.878	",7.922,2021,80.3,1.2,1.002,30,85,93,100,100,97,0,90,5.135,4.364,18,46,8.6,1,30,4.03,675,12,123,0,0,0,0,0,0,3.44,36.388,34.709,255,0.932,0.932,0.998,83.878
"7.969	2001	67.3	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.404	3.640	18	46	7.3	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.841	35.993	34.312	255.000	0.932	0.932	0.998	83.878	",7.969,2001,67.3,1.2,1.002,30,85,93,100,100,97,0,90,4.404,3.64,18,46,7.3,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.841,35.993,34.312,255,0.932,0.932,0.998,83.878
"8.016	2007	54.5	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	3.735	2.964	18	46	6.2	1.000	30.0	4.03	675	12.00	123	0	0.0	0.0	0.0	0	0	2.320	36.191	34.510	255.000	0.936	0.936	0.994	84.234	",8.016,2007,54.5,1.2,1.006,30,85,93,100,100,97,0,90,3.735,2.964,18,46,6.2,1,30,4.03,675,12,123,0,0,0,0,0,0,2.32,36.191,34.51,255,0.936,0.936,0.994,84.234
"8.063	2013	55.3	1.2	1.009	30.0	85.0	93	100	100	97	0.0	90	3.752	2.996	18	47	6.3	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.352	35.499	33.816	255.000	0.938	0.938	0.992	84.412	",8.063,2013,55.3,1.2,1.009,30,85,93,100,100,97,0,90,3.752,2.996,18,47,6.3,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.352,35.499,33.816,255,0.938,0.938,0.992,84.412
"8.110	2008	66.8	1.2	1.011	30.0	85.0	93	100	100	97	0.0	90	4.380	3.624	18	47	7.3	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.838	33.424	31.734	255.000	0.940	0.940	0.989	84.590	",8.11,2008,66.8,1.2,1.011,30,85,93,100,100,97,0,90,4.38,3.624,18,47,7.3,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.838,33.424,31.734,255,0.94,0.94,0.989,84.59
"8.157	2022	79.8	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	5.084	4.328	18	46	8.6	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	3.413	36.586	34.907	255.000	0.932	0.932	0.998	83.878	",8.157,2022,79.8,1.2,1.002,30,85,93,100,100,97,0,90,5.084,4.328,18,46,8.6,1,30,4.03,675,12.24,123,0,0,0,0,0,0,3.413,36.586,34.907,255,0.932,0.932,0.998,83.878
"8.204	2008	67.3	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	4.396	3.640	18	46	7.4	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.851	33.918	32.229	255.000	0.928	0.928	1.002	83.522	",8.204,2008,67.3,1.2,0.998,30,85,93,100,100,97,0,90,4.396,3.64,18,46,7.4,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.851,33.918,32.229,255,0.928,0.928,1.002,83.522
"8.250	2013	54.5	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	3.728	2.964	18	46	6.3	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.327	36.882	35.204	255.000	0.932	0.932	0.998	83.878	",8.25,2013,54.5,1.2,1.002,30,85,93,100,100,97,0,90,3.728,2.964,18,46,6.3,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.327,36.882,35.204,255,0.932,0.932,0.998,83.878
"8.297	2009	66.5	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	4.388	3.624	18	46	7.3	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.839	35.400	33.717	255.000	0.930	0.930	1.000	83.700	",8.297,2009,66.5,1.2,1,30,85,93,100,100,97,0,90,4.388,3.624,18,46,7.3,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.839,35.4,33.717,255,0.93,0.93,1,83.7
"8.344	2020	80.3	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	5.128	4.364	18	47	8.6	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	3.438	36.882	35.204	255.000	0.926	0.926	1.004	83.344	",8.344,2020,80.3,1.2,0.996,30,85,93,100,100,97,0,90,5.128,4.364,18,47,8.6,1,30,4.03,675,12.12,123,0,0,0,0,0,0,3.438,36.882,35.204,255,0.926,0.926,1.004,83.344
"8.391	2019	79.8	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	5.084	4.328	18	47	8.6	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	3.408	35.993	34.312	255.000	0.926	0.926	1.004	83.344	",8.391,2019,79.8,1.2,0.996,30,85,93,100,100,97,0,90,5.084,4.328,18,47,8.6,1,30,4.03,675,12.24,123,0,0,0,0,0,0,3.408,35.993,34.312,255,0.926,0.926,1.004,83.344
"8.438	2009	67.3	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	4.404	3.640	18	46	7.4	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.852	34.017	32.329	255.000	0.928	0.928	1.002	83.522	",8.438,2009,67.3,1.2,0.998,30,85,93,100,100,97,0,90,4.404,3.64,18,46,7.4,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.852,34.017,32.329,255,0.928,0.928,1.002,83.522
"8.485	2012	54.8	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	3.720	2.964	18	46	6.2	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.326	36.388	34.709	255.000	0.930	0.930	1.000	83.700	",8.485,2012,54.8,1.2,1,30,85,93,100,100,97,0,90,3.72,2.964,18,46,6.2,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.326,36.388,34.709,255,0.93,0.93,1,83.7
"8.532	2009	66.3	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	4.370	3.592	18	46	7.3	1.000	30.0	4.03	675	11.88	123	0	0.0	0.0	0.0	0	0	2.814	34.017	32.329	255.000	0.930	0.930	1.000	83.700	",8.532,2009,66.3,1.2,1,30,85,93,100,100,97,0,90,4.37,3.592,18,46,7.3,1,30,4.03,675,11.88,123,0,0,0,0,0,0,2.814,34.017,32.329,255,0.93,0.93,1,83.7
"8.579	2025	80.3	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	5.120	4.364	18	46	8.6	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	3.446	36.289	34.609	255.000	0.928	0.928	1.002	83.522	",8.579,2025,80.3,1.2,0.998,30,85,93,100,100,97,0,90,5.12,4.364,18,46,8.6,1,30,4.03,675,12.24,123,0,0,0,0,0,0,3.446,36.289,34.609,255,0.928,0.928,1.002,83.522
"8.625	2009	67.3	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	4.411	3.640	18	47	7.4	1.000	30.0	4.03	675	12.00	123	0	0.0	0.0	0.0	0	0	2.852	35.795	34.114	255.000	0.930	0.930	1.000	83.700	",8.625,2009,67.3,1.2,1,30,85,93,100,100,97,0,90,4.411,3.64,18,47,7.4,1,30,4.03,675,12,123,0,0,0,0,0,0,2.852,35.795,34.114,255,0.93,0.93,1,83.7
"8.672	2017	54.5	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	3.720	2.964	18	47	6.3	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.332	36.882	35.204	255.000	0.936	0.936	0.994	84.234	",8.672,2017,54.5,1.2,1.006,30,85,93,100,100,97,0,90,3.72,2.964,18,47,6.3,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.332,36.882,35.204,255,0.936,0.936,0.994,84.234
"8.719	2011	55.0	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	3.767	2.996	18	47	6.3	1.000	30.0	4.03	675	12.00	123	0	0.0	0.0	0.0	0	0	2.350	35.795	34.114	255.000	0.930	0.930	1.000	83.700	",8.719,2011,55,1.2,1,30,85,93,100,100,97,0,90,3.767,2.996,18,47,6.3,1,30,4.03,675,12,123,0,0,0,0,0,0,2.35,35.795,34.114,255,0.93,0.93,1,83.7
"8.766	2009	66.5	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	4.388	3.624	18	46	7.3	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.839	34.214	32.527	255.000	0.928	0.928	1.002	83.522	",8.766,2009,66.5,1.2,0.998,30,85,93,100,100,97,0,90,4.388,3.624,18,46,7.3,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.839,34.214,32.527,255,0.928,0.928,1.002,83.522
"8.813	2024	80.0	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	5.120	4.364	18	46	8.6	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	3.445	37.376	35.700	255.000	0.926	0.926	1.004	83.344	",8.813,2024,80,1.2,0.996,30,85,93,100,100,97,0,90,5.12,4.364,18,46,8.6,1,30,4.03,675,12.24,123,0,0,0,0,0,0,3.445,37.376,35.7,255,0.926,0.926,1.004,83.344
"8.860	2012	67.0	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	4.404	3.640	18	46	7.4	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.856	34.511	32.824	255.000	0.926	0.926	1.004	83.344	",8.86,2012,67,1.2,0.996,30,85,93,100,100,97,0,90,4.404,3.64,18,46,7.4,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.856,34.511,32.824,255,0.926,0.926,1.004,83.344
"8.922	2017	54.3	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	3.700	2.936	18	46	6.2	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.310	37.376	35.700	255.000	0.936	0.936	0.994	84.234	",8.922,2017,54.3,1.2,1.006,30,85,93,100,100,97,0,90,3.7,2.936,18,46,6.2,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.31,37.376,35.7,255,0.936,0.936,0.994,84.234
"8.954	2011	66.8	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.388	3.624	18	47	7.4	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.842	35.993	34.312	255.000	0.932	0.932	0.998	83.878	",8.954,2011,66.8,1.2,1.002,30,85,93,100,100,97,0,90,4.388,3.624,18,47,7.4,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.842,35.993,34.312,255,0.932,0.932,0.998,83.878
"9.000	2013	80.0	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	4.396	3.640	18	47	7.4	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.858	34.116	32.428	255.000	0.930	0.930	1.000	83.700	",9,2013,80,1.2,1,30,85,93,100,100,97,0,90,4.396,3.64,18,47,7.4,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.858,34.116,32.428,255,0.93,0.93,1,83.7
"9.047	2024	80.5	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	5.144	4.380	18	46	8.7	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	3.457	36.388	34.709	255.000	0.926	0.926	1.004	83.344	",9.047,2024,80.5,1.2,0.996,30,85,93,100,100,97,0,90,5.144,4.38,18,46,8.7,1,30,4.03,675,12.12,123,0,0,0,0,0,0,3.457,36.388,34.709,255,0.926,0.926,1.004,83.344
"9.094	2009	67.5	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	4.424	3.668	18	46	7.4	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.874	34.214	32.527	255.000	0.926	0.926	1.004	83.344	",9.094,2009,67.5,1.2,0.996,30,85,93,100,100,97,0,90,4.424,3.668,18,46,7.4,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.874,34.214,32.527,255,0.926,0.926,1.004,83.344
"9.141	2011	54.8	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	3.728	2.964	18	47	6.2	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.325	36.981	35.304	255.000	0.928	0.928	1.002	83.522	",9.141,2011,54.8,1.2,0.998,30,85,93,100,100,97,0,90,3.728,2.964,18,47,6.2,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.325,36.981,35.304,255,0.928,0.928,1.002,83.522
"9.188	2006	67.5	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	4.432	3.668	18	47	7.4	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.870	33.918	32.229	255.000	0.930	0.930	1.000	83.700	",9.188,2006,67.5,1.2,1,30,85,93,100,100,97,0,90,4.432,3.668,18,47,7.4,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.87,33.918,32.229,255,0.93,0.93,1,83.7
"9.235	2018	80.3	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	5.135	4.364	18	46	8.6	1.000	30.0	4.03	675	12.00	123	0	0.0	0.0	0.0	0	0	3.435	36.685	35.006	255.000	0.928	0.928	1.002	83.522	",9.235,2018,80.3,1.2,0.998,30,85,93,100,100,97,0,90,5.135,4.364,18,46,8.6,1,30,4.03,675,12,123,0,0,0,0,0,0,3.435,36.685,35.006,255,0.928,0.928,1.002,83.522
"9.282	2003	67.3	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.396	3.640	18	46	7.3	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.843	36.487	34.808	255.000	0.932	0.932	0.998	83.878	",9.282,2003,67.3,1.2,1.002,30,85,93,100,100,97,0,90,4.396,3.64,18,46,7.3,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.843,36.487,34.808,255,0.932,0.932,0.998,83.878
"9.329	2004	54.3	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	4.388	3.624	18	46	7.3	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.832	34.116	32.428	255.000	0.928	0.928	1.002	83.522	",9.329,2004,54.3,1.2,0.998,30,85,93,100,100,97,0,90,4.388,3.624,18,46,7.3,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.832,34.116,32.428,255,0.928,0.928,1.002,83.522
"9.375	2011	55.0	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	3.752	2.996	18	46	6.3	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	2.350	35.894	34.213	255.000	0.928	0.928	1.002	83.522	",9.375,2011,55,1.2,0.998,30,85,93,100,100,97,0,90,3.752,2.996,18,46,6.3,1,30,4.03,675,12.24,123,0,0,0,0,0,0,2.35,35.894,34.213,255,0.928,0.928,1.002,83.522
"9.422	2006	67.3	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	4.404	3.640	18	46	7.4	1.000	30.0	4.03	675	12.12	123	0	0.0	0.0	0.0	0	0	2.848	34.313	32.626	255.000	0.930	0.930	1.000	83.700	",9.422,2006,67.3,1.2,1,30,85,93,100,100,97,0,90,4.404,3.64,18,46,7.4,1,30,4.03,675,12.12,123,0,0,0,0,0,0,2.848,34.313,32.626,255,0.93,0.93,1,83.7
"9.469	2016	80.0	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	5.120	4.364	18	46	8.6	1.000	30.0	4.03	675	12.24	123	0	0.0	0.0	0.0	0	0	3.431	37.772	36.097	255.000	0.928	0.928	1.002	83.522	",9.469,2016,80,1.2,0.998,30,85,93,100,100,97,0,90,5.12,4.364,18,46,8.6,1,30,4.03,675,12.24,123,0,0,0,0,0,0,3.431,37.772,36.097,255,0.928,0.928,1.002,83.522
