Time,RPM,MAP,TP,lambda,MAT,CLT,Gego,Gwarm,Gbaro,Gammae,TPSacc,Gve,PW,PW_raw,IacDC,IacSteps,DutyCycle1,lambdaTarget,Spark,Dwell,EGT #1,Vbatt,IacInt,speed_rpm_ratio,altitude,speed,course,distance,distance_sum,inst_Vems,torque,torque_nominal,L100km,lambda_corr_ego,lambda_corr_ego,afr_diff,corrected_ve
0,2005,67,1.2,0.853,31,85,90,100,100,96,0,90,4.884,4.128,18,47,8.2,0.85,15,4.03,710,12.24,123,0,0,0,0,0,0,3.228,29.175,27.469,255,0.768,0.768,0.997,81.256
0,2002,67,1.2,0.849,31,85,90,100,100,96,0,90,4.884,4.128,18,47,8.1,0.85,15,4.03,710,12.24,123,0,0,0,0,0,0,3.223,28.78,27.073,255,0.764,0.764,1.002,80.851
0.063,2009,66.8,1.2,0.849,31,85,90,100,100,96,0,90,4.867,4.096,18,46,8.1,0.85,15,4.03,710,12,123,0,0,0,0,0,0,3.209,28.681,26.974,255,0.764,0.764,1.002,80.851
0.11,2000,66.5,1.2,0.847,31,85,90,100,100,96,0,90,4.867,4.096,18,46,8.1,0.85,15,4.03,710,12,123,0,0,0,0,0,0,3.195,28.681,26.974,255,0.762,0.762,1.004,80.649
0.157,2012,80.3,1.2,0.849,31,85,90,100,100,96,0,90,5.684,4.928,18,46,9.5,0.85,15,4.03,710,12.24,123,0,0,0,0,0,0,3.867,29.372,27.668,255,0.764,0.764,1.002,80.851
0.204,2008,67.3,1.2,0.853,31,85,90,100,100,96,0,90,4.892,4.128,18,46,8.2,0.85,15,4.03,710,12.12,123,0,0,0,0,0,0,3.233,28.286,26.577,255,0.768,0.768,0.997,81.256
0.25,2023,55,1.2,0.853,31,85,90,100,100,96,0,90,4.136,3.38,18,47,7,0.85,15,4.03,710,12.24,123,0,0,0,0,0,0,2.667,29.372,27.668,255,0.768,0.768,0.997,81.256
0.297,2004,67.5,1.2,0.851,31,85,90,100,100,96,0,90,4.927,4.156,18,47,8.2,0.85,15,4.03,710,12,123,0,0,0,0,0,0,3.248,28.286,26.577,255,0.766,0.766,0.999,81.054
0.344,2019,80.5,1.2,0.853,31,85,90,100,100,96,0,90,5.724,4.96,18,46,9.6,0.85,15,4.03,710,12.12,123,0,0,0,0,0,0,3.906,29.57,27.866,255,0.768,0.768,0.997,81.256
0.391,2022,79.8,1.2,0.855,31,85,90,100,100,96,0,90,5.671,4.9,18,46,9.6,0.85,15,4.03,710,12,123,0,0,0,0,0,0,3.864,29.471,27.767,255,0.77,0.77,0.994,81.459
0.438,2008,67,1.2,0.855,31,85,90,100,100,96,0,90,4.892,4.128,18,46,8.2,0.85,15,4.03,710,12.12,123,0,0,0,0,0,0,3.233,28.286,26.577,255,0.77,0.77,0.994,81.459
0.485,2015,54.5,1.2,0.853,31,85,90,100,100,96,0,90,4.108,3.352,18,46,6.9,0.85,15,4.03,710,12.24,123,0,0,0,0,0,0,2.634,29.471,27.767,255,0.768,0.768,0.997,81.256
