Time,RPM,MAP,TP,lambda,MAT,CLT,Gego,Gwarm,Gbaro,Gammae,TPSacc,Gve,PW,PW_raw,IacDC,IacSteps,DutyCycle1,lambdaTarget,Spark,Dwell,EGT #1,Vbatt,IacInt,speed_rpm_ratio,altitude,speed,course,distance,distance_sum,inst_Vems,torque,torque_nominal,L100km,lambda_corr_ego,lambda_corr_ego,afr_diff,corrected_ve
0,2014,54.3,1.2,1.201,32,85,100,100,100,96,0,90,3.484,2.72,18,48,5.8,1.148,10,4.03,785,12.12,123,0,0,0,0,0,0,2.136,13.266,11.503,255,1.201,1.201,0.956,94.165
0.016,1986,54.3,1.2,1.167,32,85,100,100,100,96,0,90,3.491,2.72,18,48,5.8,1.148,10,4.03,785,12,123,0,0,0,0,0,0,2.107,12.871,11.107,255,1.167,1.167,0.984,91.498
0.063,2008,54,1.2,1.133,32,85,100,100,100,96,0,90,3.484,2.72,18,48,5.8,1.148,10,4.03,785,12.12,123,0,0,0,0,0,0,2.13,12.772,11.008,255,1.133,1.133,1.013,88.832
0.11,2016,67,1.2,1.133,32,85,100,100,100,96,0,90,4.156,3.392,18,48,7,1.148,10,4.03,785,12.12,123,0,0,0,0,0,0,2.667,13.266,11.503,255,1.133,1.133,1.013,88.832
0.156,1989,80,1.2,1.15,32,85,100,100,100,96,0,90,4.804,4.048,18,47,8,1.148,10,4.03,785,12.24,123,0,0,0,0,0,0,3.14,13.068,11.305,255,1.15,1.15,0.998,90.165
0.203,2006,67.5,1.2,1.167,32,85,100,100,100,96,0,90,4.195,3.424,18,47,7,1.148,10,4.03,785,12,123,0,0,0,0,0,0,2.679,12.475,10.71,255,1.167,1.167,0.984,91.498
0.25,1974,55,1.2,1.15,32,85,100,100,100,96,0,90,3.544,2.78,18,48,5.8,1.148,10,4.03,785,12.12,123,0,0,0,0,0,0,2.14,13.167,11.404,255,1.15,1.15,0.998,90.165
0.297,1987,66.8,1.2,1.15,32,85,100,100,100,96,0,90,4.143,3.372,18,48,6.9,1.148,10,4.03,785,12,123,0,0,0,0,0,0,2.613,12.871,11.107,255,1.15,1.15,0.998,90.165
0.344,1983,80,1.2,1.15,32,85,100,100,100,96,0,90,4.835,4.064,18,48,8,1.148,10,4.03,785,12,123,0,0,0,0,0,0,3.143,13.266,11.503,255,1.15,1.15,0.998,90.165
0.391,1999,67.3,1.2,1.15,32,85,100,100,100,96,0,90,4.168,3.404,18,47,6.9,1.148,10,4.03,785,12.12,123,0,0,0,0,0,0,2.654,12.772,11.008,255,1.15,1.15,0.998,90.165
0.438,2002,66.8,1.2,1.133,32,85,100,100,100,96,0,90,4.136,3.372,18,47,6.9,1.148,10,4.03,785,12.12,123,0,0,0,0,0,0,2.633,12.969,11.206,255,1.133,1.133,1.013,88.832
0.485,1994,54.3,1.2,1.133,32,85,100,100,100,96,0,90,3.496,2.732,18,48,5.8,1.148,10,4.03,785,12.12,123,0,0,0,0,0,0,2.125,12.871,11.107,255,1.133,1.133,1.013,88.832
0.531,2015,67,1.2,1.15,32,85,100,100,100,96,0,90,4.175,3.404,18,48,7,1.148,10,4.03,785,12,123,0,0,0,0,0,0,2.675,12.673,10.908,255,1.15,1.15,0.998,90.165
0.578,1995,80,1.2,1.167,32,85,100,100,100,96,0,90,4.82,4.064,18,47,8,1.148,10,4.03,785,12.24,123,0,0,0,0,0,0,3.162,12.969,11.206,255,1.167,1.167,0.984,91.498
0.625,2018,66.8,1.2,1.167,32,85,100,100,100,96,0,90,4.143,3.372,18,47,7,1.148,10,4.03,785,12,123,0,0,0,0,0,0,2.654,12.772,11.008,255,1.167,1.167,0.984,91.498
0.672,2012,54.5,1.2,1.167,32,85,101,100,100,96,0,90,3.532,2.776,18,47,5.9,1.148,10,4.03,785,12.24,123,0,0,0,0,0,0,2.178,12.772,11.008,255,1.179,1.179,0.984,92.413
0.719,2029,66.3,1.2,1.133,32,85,101,100,100,96,0,90,4.146,3.368,18,47,7,1.148,10,4.03,785,11.88,123,0,0,0,0,0,0,2.665,13.167,11.404,255,1.144,1.144,1.013,89.72
0.766,2023,66,1.2,1.15,32,85,101,100,100,96,0,90,4.132,3.368,18,48,7,1.148,10,4.03,785,12.12,123,0,0,0,0,0,0,2.657,12.969,11.206,255,1.162,1.162,0.998,91.067
0.813,2010,79.8,1.2,1.167,32,85,101,100,100,96,0,90,4.824,4.06,18,48,8.1,1.148,10,4.03,785,12.12,123,0,0,0,0,0,0,3.183,12.871,11.107,255,1.179,1.179,0.984,92.413
0.86,2002,67.5,1.2,1.184,32,85,101,100,100,96,0,90,4.216,3.452,18,48,7,1.148,10,4.03,785,12.12,123,0,0,0,0,0,0,2.695,12.969,11.206,255,1.196,1.196,0.969,93.76
